status,window_config,window_size,window_stride,window_threshold,drop_ambiguous,window_train_rows,window_val_rows,window_test_rows,run_dir,run_tag,threshold_percentile,max_iter,hidden_layers,seed,threshold,test_f1,test_precision,test_recall,test_fpr_normal,val_f1,val_precision,val_recall,val_fpr_normal,artifact_dir
ok,ws64_st16_thr0p25,64,16,0.25,False,3771,807,811,C:\Users\lukep\Documents\MVS\backend\ml\anomaly_detection\results\week2\window_sweep_results\window_configs\ws64_st16_thr0p25,thr97p5_it400_h256-128-256_seed42,97.5,400,"256,128,256",42,0.21428343653678894,0.1552511415525114,1.0,0.08415841584158416,0.0,0.03800475059382423,0.42105263157894735,0.01990049751243781,0.027160493827160494,C:\Users\lukep\Documents\MVS\backend\ml\anomaly_detection\results\week2\window_sweep_results\window_configs\ws64_st16_thr0p25\model_runs\thr97p5_it400_h256-128-256_seed42
ok,ws64_st16_thr0p25,64,16,0.25,False,3771,807,811,C:\Users\lukep\Documents\MVS\backend\ml\anomaly_detection\results\week2\window_sweep_results\window_configs\ws64_st16_thr0p25,thr97p5_it400_h192-96-192_seed42,97.5,400,"192,96,192",42,0.2178778052330017,0.13394919168591224,1.0,0.07178217821782178,0.0,0.04265402843601896,0.45,0.022388059701492536,0.027160493827160494,C:\Users\lukep\Documents\MVS\backend\ml\anomaly_detection\results\week2\window_sweep_results\window_configs\ws64_st16_thr0p25\model_runs\thr97p5_it400_h192-96-192_seed42
ok,ws64_st16_thr0p25,64,16,0.25,False,3771,807,811,C:\Users\lukep\Documents\MVS\backend\ml\anomaly_detection\results\week2\window_sweep_results\window_configs\ws64_st16_thr0p25,thr95p0_it250_h384-192-384_seed42,95.0,250,"384,192,384",42,0.09321700781583786,0.44315992292870904,1.0,0.28465346534653463,0.0,0.17672413793103448,0.6612903225806451,0.10199004975124377,0.05185185185185185,C:\Users\lukep\Documents\MVS\backend\ml\anomaly_detection\results\week2\window_sweep_results\window_configs\ws64_st16_thr0p25\model_runs\thr95p0_it250_h384-192-384_seed42
ok,ws64_st16_thr0p25,64,16,0.25,False,3771,807,811,C:\Users\lukep\Documents\MVS\backend\ml\anomaly_detection\results\week2\window_sweep_results\window_configs\ws64_st16_thr0p25,thr95p0_it250_h256-128-256_seed42,95.0,250,"256,128,256",42,0.09583385288715363,0.43106796116504853,1.0,0.2747524752475248,0.0,0.1608695652173913,0.6379310344827587,0.09203980099502487,0.05185185185185185,C:\Users\lukep\Documents\MVS\backend\ml\anomaly_detection\results\week2\window_sweep_results\window_configs\ws64_st16_thr0p25\model_runs\thr95p0_it250_h256-128-256_seed42
ok,ws64_st16_thr0p25,64,16,0.25,False,3771,807,811,C:\Users\lukep\Documents\MVS\backend\ml\anomaly_detection\results\week2\window_sweep_results\window_configs\ws64_st16_thr0p25,thr95p0_it250_h192-96-192_seed42,95.0,250,"192,96,192",42,0.09905515611171722,0.29535864978902954,1.0,0.17326732673267325,0.0,0.15283842794759825,0.625,0.08706467661691543,0.05185185185185185,C:\Users\lukep\Documents\MVS\backend\ml\anomaly_detection\results\week2\window_sweep_results\window_configs\ws64_st16_thr0p25\model_runs\thr95p0_it250_h192-96-192_seed42
ok,ws64_st16_thr0p25,64,16,0.25,False,3771,807,811,C:\Users\lukep\Documents\MVS\backend\ml\anomaly_detection\results\week2\window_sweep_results\window_configs\ws64_st16_thr0p25,thr95p0_it400_h384-192-384_seed42,95.0,400,"384,192,384",42,0.09321700781583786,0.44315992292870904,1.0,0.28465346534653463,0.0,0.17672413793103448,0.6612903225806451,0.10199004975124377,0.05185185185185185,C:\Users\lukep\Documents\MVS\backend\ml\anomaly_detection\results\week2\window_sweep_results\window_configs\ws64_st16_thr0p25\model_runs\thr95p0_it400_h384-192-384_seed42
ok,ws64_st16_thr0p25,64,16,0.25,False,3771,807,811,C:\Users\lukep\Documents\MVS\backend\ml\anomaly_detection\results\week2\window_sweep_results\window_configs\ws64_st16_thr0p25,thr95p0_it400_h256-128-256_seed42,95.0,400,"256,128,256",42,0.09583385288715363,0.43106796116504853,1.0,0.2747524752475248,0.0,0.1608695652173913,0.6379310344827587,0.09203980099502487,0.05185185185185185,C:\Users\lukep\Documents\MVS\backend\ml\anomaly_detection\results\week2\window_sweep_results\window_configs\ws64_st16_thr0p25\model_runs\thr95p0_it400_h256-128-256_seed42
ok,ws64_st16_thr0p25,64,16,0.25,False,3771,807,811,C:\Users\lukep\Documents\MVS\backend\ml\anomaly_detection\results\week2\window_sweep_results\window_configs\ws64_st16_thr0p25,thr95p0_it400_h192-96-192_seed42,95.0,400,"192,96,192",42,0.09905515611171722,0.29535864978902954,1.0,0.17326732673267325,0.0,0.15283842794759825,0.625,0.08706467661691543,0.05185185185185185,C:\Users\lukep\Documents\MVS\backend\ml\anomaly_detection\results\week2\window_sweep_results\window_configs\ws64_st16_thr0p25\model_runs\thr95p0_it400_h192-96-192_seed42
ok,ws64_st16_thr0p25,64,16,0.25,False,3771,807,811,C:\Users\lukep\Documents\MVS\backend\ml\anomaly_detection\results\week2\window_sweep_results\window_configs\ws64_st16_thr0p25,thr92p5_it250_h384-192-384_seed42,92.5,250,"384,192,384",42,0.08283401280641556,0.46095238095238095,1.0,0.2995049504950495,0.0,0.2033195020746888,0.6125,0.12189054726368159,0.07654320987654321,C:\Users\lukep\Documents\MVS\backend\ml\anomaly_detection\results\week2\window_sweep_results\window_configs\ws64_st16_thr0p25\model_runs\thr92p5_it250_h384-192-384_seed42
ok,ws64_st16_thr0p25,64,16,0.25,False,3771,807,811,C:\Users\lukep\Documents\MVS\backend\ml\anomaly_detection\results\week2\window_sweep_results\window_configs\ws64_st16_thr0p25,thr92p5_it250_h256-128-256_seed42,92.5,250,"256,128,256",42,0.081846222281456,0.4725897920604915,1.0,0.3094059405940594,0.0,0.21443298969072164,0.6265060240963856,0.12935323383084577,0.07654320987654321,C:\Users\lukep\Documents\MVS\backend\ml\anomaly_detection\results\week2\window_sweep_results\window_configs\ws64_st16_thr0p25\model_runs\thr92p5_it250_h256-128-256_seed42
